set,clock,dbm,rssi,attack
38,587.43,23,32,0
38,591.17,24,35,0
39,593.67,14,32,0
39,595.9,17,40,0
39,597.84,20,34,0
39,601.06,22,35,0
39,603.53,23,35,0
39,605.79,24,31,0
40,607.6,14,36,0
40,611.04,17,36,0
40,614.15,20,35,0
40,617.94,22,33,0
40,619.82,23,30,0
40,621.25,24,32,0
41,622.64,14,37,0
41,624.03,17,35,0
41,626.64,20,35,0
41,628.85,22,35,0
41,630.19,23,31,0
41,632.92,24,31,0
42,635.58,14,35,0
42,638.5,17,37,0
42,640.37,20,32,0
42,642.35,22,36,0
42,645.91,23,32,0
42,648.45,24,29,0
43,650.25,14,35,0
43,651.72,17,44,0
43,654.15,20,34,0
43,655.91,22,32,0
43,658.39,23,35,0
43,661.01,24,32,0
44,663.09,14,41,0
44,664.51,17,40,0
44,666.76,20,35,0
44,669.55,22,33,0
44,670.64,23,31,0
44,674.37,24,36,0
45,677.61,14,36,0
45,681.03,17,38,0
45,683.26,20,45,0
45,685.72,22,37,0
45,688.89,23,31,0
45,692.11,24,31,0
46,695.36,14,37,0
46,698.76,17,36,0
46,700.21,20,35,0
46,703.46,22,36,0
46,704.57,23,30,0
46,706.34,24,34,0
47,707.47,14,35,0
47,709.51,17,41,0
47,711.12,20,35,0
47,714.73,22,33,0
47,717.06,23,30,0
47,718.39,24,28,0
48,719.76,14,36,0
48,721.5,17,41,0
48,724.7,20,35,0
48,727.47,22,34,0
48,731.27,23,30,0
48,733.81,24,30,0
49,734.86,14,36,0
49,736.34,17,35,0
49,740.21,20,36,0
49,741.61,22,34,0
49,745.6,23,30,0
49,748.38,24,32,0
50,752.07,14,35,0
50,753.68,17,35,0
50,754.94,20,37,0
50,758.57,22,36,0
50,760.76,23,31,0
50,763.03,24,33,0
51,764.06,14,34,0
51,766.44,17,36,0
51,767.47,20,36,0
51,769.63,22,36,0
51,772.98,23,31,0
51,775.53,24,30,0
52,777.94,14,34,0
52,781.66,17,37,0
52,784.08,20,35,0
52,786.3,22,35,0
52,787.63,23,30,0
52,791.46,24,29,0
53,792.95,14,36,0
53,795.58,17,36,0
53,799.47,20,35,0
53,801.74,22,36,0
53,804.09,23,32,0
53,807.39,24,27,0
54,808.78,14,38,0
54,811.33,17,36,0
54,814.37,20,34,0
54,818.09,22,33,0
54,820.45,23,30,0
54,822.19,24,30,0
55,824.03,14,34,0
55,826.27,17,35,0
55,829.4,20,34,0
55,831.84,22,35,0
55,834.95,23,30,0
55,838.77,24,33,0
56,840.11,14,36,0
56,841.9,17,35,0
56,845.16,20,35,0
56,848.28,22,35,0
56,849.97,23,31,0
56,851.39,24,32,0
57,853.5,14,36,0
57,856.86,17,37,0
57,858.21,20,40,0
57,860.53,22,35,0
57,862.54,23,30,0
57,863.97,24,30,0
58,866.83,14,35,0
58,869.83,17,38,0
58,871.06,20,33,0
58,873.82,22,34,0
58,875.71,23,30,0
58,876.73,24,30,0
59,877.81,14,7,0
59,881.6,17,35,0
59,883.34,20,34,0
59,887.14,22,34,0
59,890.24,23,32,0
59,892.99,24,32,0
60,895.69,14,7,0
60,898.2,17,35,0
60,900.36,20,37,0
60,902.93,22,35,0
60,905.22,23,30,0
60,908.64,24,29,0
61,911.86,14,37,0
61,914.57,17,37,0
61,916.7,20,36,0
61,919.83,22,34,0
61,921.08,23,30,0
61,924.09,24,28,0
62,925.22,14,36,0
62,927.49,17,35,0
62,929.58,20,37,0
62,931.25,22,33,0
62,934.32,23,37,0
62,937.57,24,31,0
63,939.16,14,33,0
63,941.97,17,37,0
63,945.24,20,33,0
63,948.38,22,35,0
63,952.16,23,31,0
63,955.74,24,29,0
64,958.31,14,34,0
64,961.03,17,36,0
64,964.21,20,36,0
64,965.75,22,34,0
64,968.8,23,34,0
64,971.76,24,28,0
65,974.44,14,36,0
65,977.53,17,37,0
65,980.34,20,36,0
65,981.42,22,34,0
65,982.88,23,31,0
65,985.8,24,32,0
66,987.8,14,36,0
66,991.59,17,35,0
66,993.62,20,33,0
66,996.61,22,34,0
66,1000.16,23,31,0
66,1003.71,24,32,0
67,1006.63,14,35,0
67,1010.19,17,37,0
67,1012.45,20,35,0
67,1014.97,22,33,0
67,1017.13,23,32,0
67,1020.83,24,33,0
68,1024.77,14,36,0
68,1028.32,17,37,0
68,1030.55,20,33,0
68,1033.65,22,34,0
68,1036.27,23,29,0
68,1040.24,24,34,0
69,1042.15,14,35,0
69,1045.5,17,35,0
69,1046.75,20,32,0
69,1047.97,22,34,0
69,1049.76,23,29,0
69,1052.59,24,36,0
70,1054.63,14,35,0
70,1056.41,17,36,0
70,1058.16,20,36,0
70,1061.76,22,35,0
70,1063.33,23,32,0
70,1064.95,24,32,0
71,1067.71,14,34,0
71,1071.69,17,35,0
71,1073.82,20,34,0
71,1076.83,22,34,0
71,1079.11,23,33,0
71,1081.62,24,32,0
72,1084.41,14,38,0
72,1086.85,17,36,0
72,1089.22,20,36,0
72,1092.46,22,33,0
72,1093.98,23,31,0
72,1097.19,24,30,0
73,1101.05,14,35,0
73,1102.37,17,37,0
73,1105.73,20,34,0
73,1108.13,22,34,0
73,1109.35,23,31,0
73,1112.63,24,32,0
74,1114.12,14,37,0
74,1116.19,17,34,0
74,1118.82,20,34,0
74,1122.43,22,35,0
74,1124.89,23,32,0
74,1126.31,24,30,0
75,1128.54,14,35,0
75,1129.72,17,41,0
75,1133.24,20,36,0
75,1134.46,22,33,0
75,1138.29,23,32,0
75,1141.31,24,32,0
76,1144.21,14,37,0
76,1148.05,17,37,0
76,1150.38,20,35,0
76,1152.79,22,34,0
76,1155.58,23,33,0
76,1156.96,24,31,0
77,1158.14,14,36,0
77,1160.9,17,35,0
77,1162.63,20,34,0
77,1164.56,22,35,0
77,1165.57,23,32,0
77,1167.35,24,32,0
78,1169.44,14,34,0
