set,clock,dbm,rssi,attack
38,582.24,23,32,0
38,584.63,24,29,0
39,587.07,14,36,0
39,589.75,17,35,0
39,591.00,20,32,0
39,594.56,22,32,0
39,596.88,23,36,0
39,599.95,24,30,0
40,602.09,14,35,0
40,603.59,17,36,0
40,604.90,20,31,0
40,608.70,22,32,0
40,612.24,23,28,0
40,615.87,24,29,0
41,616.90,14,36,0
41,619.04,17,36,0
41,622.45,20,33,0
41,623.71,22,32,0
41,627.57,23,29,0
41,630.19,24,29,0
42,631.40,14,37,0
42,633.20,17,35,0
42,637.12,20,31,0
42,639.53,22,34,0
42,641.00,23,29,0
42,644.87,24,28,0
43,647.44,14,37,0
43,649.47,17,36,0
43,652.00,20,33,0
43,655.94,22,32,0
43,658.62,23,30,0
43,662.27,24,28,0
44,664.57,14,36,0
44,668.40,17,37,0
44,672.33,20,35,0
44,674.09,22,32,0
44,677.47,23,29,0
44,681.10,24,28,0
45,682.39,14,36,0
45,685.69,17,36,0
45,688.49,20,32,0
45,692.31,22,30,0
45,693.37,23,29,0
45,695.54,24,30,0
46,697.49,14,36,0
46,700.55,17,36,0
46,702.25,20,31,0
46,703.35,22,31,0
46,707.29,23,27,0
46,708.42,24,28,0
47,711.61,14,35,0
47,715.53,17,36,0
47,717.33,20,33,0
47,719.94,22,33,0
47,721.08,23,34,0
47,722.52,24,28,0
48,724.89,14,36,0
48,727.04,17,35,0
48,728.77,20,33,0
48,731.25,22,32,0
48,734.58,23,30,0
48,737.87,24,29,0
49,739.86,14,36,0
49,741.13,17,35,0
49,744.94,20,33,0
49,747.11,22,32,0
49,748.18,23,30,0
49,749.93,24,30,0
50,751.21,14,37,0
50,753.63,17,34,0
50,755.22,20,35,0
50,756.30,22,33,0
50,758.90,23,28,0
50,761.91,24,31,0
51,764.63,14,37,0
51,768.11,17,34,0
51,770.60,20,34,0
51,772.63,22,32,0
51,775.16,23,28,0
51,778.02,24,28,0
52,780.91,14,36,0
52,783.50,17,38,0
52,786.91,20,31,0
52,790.44,22,31,0
52,791.93,23,31,0
52,794.17,24,28,0
53,797.10,14,36,0
53,801.10,17,34,0
53,805.03,20,34,0
53,807.83,22,36,0
53,811.22,23,33,0
53,812.54,24,31,0
54,816.24,14,36,0
54,819.91,17,38,0
54,823.32,20,32,0
54,825.28,22,31,0
54,829.22,23,29,0
54,831.29,24,33,0
55,833.62,14,36,0
55,837.36,17,35,0
55,840.34,20,35,0
55,844.30,22,32,0
55,846.86,23,31,0
55,849.66,24,28,0
56,851.24,14,36,0
56,853.49,17,38,0
56,855.20,20,33,0
56,857.75,22,28,0
56,859.09,23,30,0
56,862.24,24,30,0
57,865.89,14,36,0
57,869.56,17,35,0
57,873.16,20,31,0
57,875.48,22,29,0
57,877.42,23,32,0
57,878.42,24,28,0
58,882.02,14,36,0
58,885.22,17,37,0
58,886.25,20,33,0
58,890.06,22,34,0
58,892.29,23,31,0
58,895.11,24,29,0
59,897.92,14,35,0
59,900.60,17,36,0
59,901.93,20,31,0
59,905.91,22,32,0
59,909.04,23,29,0
59,910.62,24,31,0
60,912.82,14,37,0
60,914.19,17,35,0
60,916.21,20,36,0
60,918.47,22,33,0
60,922.03,23,27,0
60,924.00,24,28,0
61,925.03,14,35,0
61,928.39,17,37,0
61,932.03,20,36,0
61,935.93,22,32,0
61,939.02,23,30,0
61,940.92,24,29,0
62,942.91,14,37,0
62,946.63,17,36,0
62,950.55,20,32,0
62,951.91,22,32,0
62,955.06,23,29,0
62,956.93,24,30,0
63,960.81,14,36,0
63,964.63,17,36,0
63,967.81,20,31,0
63,968.87,22,34,0
63,972.01,23,29,0
63,975.25,24,28,0
64,978.44,14,36,0
64,981.22,17,36,0
64,984.56,20,30,0
64,987.24,22,30,0
64,990.64,23,31,0
64,994.42,24,29,0
65,995.67,14,36,0
65,997.27,17,34,0
65,1000.12,20,34,0
65,1001.39,22,31,0
65,1002.83,23,29,0
65,1005.64,24,28,0
66,1008.59,14,36,0
66,1010.19,17,35,0
66,1012.57,20,34,0
66,1016.34,22,30,0
66,1020.06,23,32,0
66,1022.45,24,30,0
